id_match,id_bookmaker,bookmaker_name,country,championship,season,match_date,match_hour,home,away,first_result_h,first_result_a,second_result_h,second_result_a,result_h,result_a,odds_h_open,odds_h_close,odds_h_var,odds_d_open,odds_d_close,odds_d_var,odds_a_open,odds_a_close,odds_a_var,result,prono_bookmaker,prono_bookmaker_isok
2021-10-01_1.__gre,7,10bet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,6","1,43","-0,17","5,75",7,"1,25","4,15","4,95","0,8",h,h,1
2021-10-01_1.__gre,21,10x10bet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,66","1,43","-0,23","5,4","7,3","1,9","4,2","5,2",1,h,h,1
2021-10-01_1.__gre,9,188bet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,58","1,42","-0,16","4,3","6,8","2,5","3,9","5,2","1,3",h,h,1
2021-10-01_1.__gre,18,1xbet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,71","1,42","-0,29","5,45","7,31","1,86","4,02","5,26","1,24",h,h,1
2021-10-01_1.__gre,17,888sport,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,65","1,42","-0,23","4,9",7,"2,1","4,1","4,8","0,7",h,h,1
2021-10-01_1.__gre,5,bet-at-home,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,61","1,41","-0,2","4,8","6,6","1,8",4,"5,2","1,2",h,h,1
2021-10-01_1.__gre,8,bet365,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,6","1,36","-0,24",5,"7,5","2,5",4,5,1,h,h,1
2021-10-01_1.__gre,6,betfair,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,6","1,36","-0,24","4,75","7,5","2,75","4,1",5,"0,9",h,h,1
2021-10-01_1.__gre,2,betsafe,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,66","1,45","-0,21",5,"6,5","1,5","4,2",5,"0,8",h,h,1
2021-10-01_1.__gre,15,betsson,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,66","1,44","-0,22",5,7,2,"4,2",5,"0,8",h,h,1
2021-10-01_1.__gre,19,betvictor,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,65","1,4","-0,25","4,8",7,"2,2","4,1","5,25","1,15",h,h,1
2021-10-01_1.__gre,14,betway,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,62","1,4","-0,22","5,25",7,"1,75","4,2",5,"0,8",h,h,1
2021-10-01_1.__gre,1,bwin,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,62","1,4","-0,22",5,"7,25","2,25","3,9",5,"1,1",h,h,1
2021-10-01_1.__gre,13,comeon,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,58","1,4","-0,18","5,5",7,"1,5","4,05",5,"0,95",h,h,1
2021-10-01_1.__gre,3,interwetten,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,65","1,47","-0,18","4,9","6,25","1,35","4,2","4,8","0,6",h,h,1
2021-10-01_1.__gre,10,pinnacle,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,63","1,42","-0,21","5,12","7,59","2,47","3,99","5,29","1,3",h,h,1
2021-10-01_1.__gre,20,sbobet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,6","1,4","-0,2","4,55","6,76","2,21","3,59","4,84","1,25",h,h,1
2021-10-01_1.__gre,4,unibet,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,65","1,42","-0,23","4,9",7,"2,1","4,1","4,8","0,7",h,h,1
2021-10-01_1.__gre,22,william hill,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,63","1,4","-0,23",5,"7,5","2,5",4,"4,8","0,8",h,h,1
2021-10-01_1.__gre,12,betfair exchange,germany,bundesliga,2021/2022,01/10/2021,20:30:00,1._fc_koln,greuther_furth,0,1,3,0,3,1,"1,44","1,41","-0,03","3,4","7,84","4,44","2,92","5,18","2,26",h,h,1
2022-10-01_1.__dor,7,10bet,germany,bundesliga,2022/2023,01/10/2022,15:30:00,1._fc_koln,dortmund,0,1,3,1,3,2,3,"3,1","0,1",2,"2,25","0,25","3,55","3,65","0,1",h,d,0
2022-10-01_1.__dor,21,10x10bet,germany,bundesliga,2022/2023,01/10/2022,15:30:00,1._fc_koln,dortmund,0,1,3,1,3,2,"3,09","3,23","0,14","2,08","2,17","0,09","4,4","3,86","-0,54",h,d,0
